Mohammad_Irfan 30 48 152
Alok_Kapali 14 271 359
DM_Bravo 73 2144 3156
GD_Elliott 66 1932 2421
Mohammad_Hafeez 136 4489 5795
GH_O'Brien 1 2 6
MW_Machan 14 461 603
HD_Rutherford 4 15 56
JL_Pattinson 8 42 82
Khurram_Khan 12 450 568
KS_Lokuarachchi 2 9 13
Afzaal_Haider 1 0 10
S_Matsikenyeri 47 872 1184
PP_Chawla 11 36 56
Aman_Ali 1 0 2
CS_Baugh 21 275 433
Haris_Sohail 20 748 919
S_Dhawan 70 3028 3426
RMS_Eranga 9 34 66
JM_Bairstow 10 260 284
Suhrawadi_Shuvo 10 98 138
Mithun_Ali 1 26 43
TS_Nethula 3 12 11
N_Pradeep 3 3 6
Abdul_Jabbar 2 59 86
Yamin_Ahmadzai 1 0 12
PVD_Chameera 5 36 56
RR_Powar 9 52 101
TG_Southee 50 332 363
SE_Marsh 48 1706 2281
A_Martin 5 10 29
AD_Mascarenhas 12 222 248
BRM_Taylor 105 3470 4540
CA_Ingram 27 688 869
PM_Siddle 4 21 18
Ehsan_Nawaz 1 0 1
DR_Brown 4 72 115
CS_MacLeod 19 424 514
Ankur_Sharma 1 16 31
MV_Boucher 62 1505 1594
ES_Szwarczynski 11 281 473
GC_Tonge 3 10 16
PJ_Ongondo 14 71 160
Adeel_Raja 3 11 61
AD_Mathews 134 3901 4693
E_Schiferli 2 10 21
MJG_Rippon 1 3 15
A_Mithun 3 51 57
NT_Broom 19 309 470
Junaid_Khan 19 55 113
MDK_Perera 4 44 81
C_de_Grandhomme 1 36 39
MA_Carberry 5 113 178
KJ_Coetzer 15 503 632
Mominul_Haque 23 543 744
AN_Kervezee 10 193 268
T_Duffin 3 131 207
TL_Best 8 32 75
Enamul_Haque_jnr 3 8 16
J_Blackwood 2 11 25
GH_Worker 2 41 66
EC_Rainsford 9 7 42
MN_Samuels 101 3170 4219
MK_Tiwary 10 283 390
Hashmatullah_Shahidi 3 66 141
Australia_avg 1939 54387 64439
Yasir_Hameed 5 141 275
Bilawal_Bhatti 7 89 77
LJ_Wright 37 631 787
SI_Mahmood 9 66 79
TA_Boult 11 58 75
Mehrab_Hossain_jnr 10 183 431
MR_Gillespie 10 80 95
Saeed_Ajmal 67 324 540
PJK_Mooney 2 11 8
RW_Chakabva 29 398 777
Khurram_Chohan 9 77 144
RJW_Topley 4 7 41
Mohammad_Rafique 15 99 168
S_Chanderpaul 64 2576 3784
NB_Mahwire 1 4 12
JD_Nel 3 17 30
Zahid_Hussain 2 9 31
AF_Buurman 2 26 34
J_Botha 44 511 597
FL_Reifer 6 86 190
J_Mubarak 14 276 394
Salman_Faris 2 27 48
TAM_Siriwardana 10 262 235
A_Bagai 18 558 882
SL_Stewart 4 26 59
LP_van_Troost 4 39 57
SP_Patil 10 156 303
WF_Stelling 2 40 39
KC_Sangakkara 211 8978 11040
Fawad_Ahmed 1 4 2
Irfan_Ahmed 3 55 81
AT_Rayudu 26 928 1220
SR_Tendulkar 88 3962 4658
RK_Kleinveldt 7 105 129
V_Sibanda 69 1644 2548
DM_Richards 7 179 260
BCJ_Cutting 2 53 67
RM_West 1 0 3
CD_Collymore 9 31 49
Noor-ul-Haq 1 12 56
GM_Hamilton 12 205 365
Mustafizur_Rahman 4 15 34
HJC_Mol 1 4 22
Munir_Dar 2 18 17
MM_Ali 35 856 883
SM_Sharif 4 58 74
T_Mupariwa 12 43 110
DSNFG_Jayasuriya 2 11 17
T_Panyangara 27 137 249
A_van_der_Merwe 1 4 4
Naumanullah 1 5 4
KC_Hodsoll 1 2 6
Tanvir_Ahmed 1 18 12
Younis_Khan 120 3503 4729
Wahab_Riaz 49 514 659
Hamza_Hotak 4 4 31
AB_Barath 13 281 498
Afsar_Zazai 11 213 383
HMRKB_Herath 26 139 226
Khaliq_Dad 1 0 1
N_M'shangwe 1 0 2
F_du_Plessis 82 2847 3425
SKW_Kelly 1 7 5
WU_Tharanga 136 4511 6287
SM_Warnapura 2 30 64
Imran_Tahir 16 82 123
GJ_Batty 3 24 55
AN_Petersen 18 498 610
AC_Botha 14 253 390
DG_Brownlie 9 203 280
Noor_Ali_Zadran 17 442 650
S_Badrinath 6 79 173
V_Permaul 3 11 22
JJ_Tucker 11 203 321
TJ_Heggelman 2 23 71
NL_McCullum 61 1069 1244
DL_Hemp 11 268 398
M_Ntini 16 52 82
Rahat_Ali 5 8 37
IA_Karim 3 196 237
A_Flintoff 32 720 832
J_Charles 32 948 1134
JA_Burns 6 146 189
I_Wardlaw 9 19 35
United_Arab_Emirates_avg 127 2515 3666
G_Gambhir 118 4406 5234
NJ_Astle 10 200 296
Khurram_Manzoor 6 206 323
Faisal_Iqbal 1 30 49
Sarfraz_Ahmed 42 1052 1260
L_Balaji 1 7 10
AR_Berenger 8 112 192
Anwar_Ali 15 283 352
AM_Blignaut 1 1 3
S_Chattergoon 6 167 274
Kabir_Ali 1 0 1
Imad_Wasim 3 77 84
BP_Nash 1 9 8
BJ_Patel 1 1 8
CR_Woakes 33 486 633
Naeem_Islam 46 877 1298
Javed_Ahmadi 15 322 400
W_Jaffer 2 10 23
Anamul_Haque 27 950 1386
Zahid_Shah 2 11 20
D_Gough 1 1 2
HK_Bennett 4 7 28
RS_Morton 27 780 1164
Hasti_Gul 1 23 11
S_Thuraisingam 1 1 6
FH_Edwards 13 58 115
M_Muralitharan 33 186 187
GS_Ballance 15 297 450
SW_Poynter 2 15 30
J_Patraj 2 21 48
J_Edness 4 119 218
CJO_Smith 10 172 253
R_Dhawan 2 12 13
AF_Milne 12 130 136
EJ_Richardson 1 12 18
Sabbir_Rahman 19 482 492
ML_Patel 1 15 60
Liton_Das 6 46 66
Ahmed_Raza 3 35 57
PW_Borren 16 411 455
IE_O'Brien 2 3 11
JD_Ryder 34 1183 1249
IDR_Bradshaw 7 50 105
Y_Punja 1 1 7
MA_Vermeulen 7 142 208
RV_Uthappa 37 826 924
TC_Bastiampillai 5 89 163
Zakiullah_Zaki 1 3 23
JAH_Marshall 3 9 42
Shafiul_Islam 28 124 215
MA_Starc 14 111 158
AG_Cremer 36 447 720
SL_Malinga 82 404 543
NS_Poonia 5 4 27
I_Sharma 25 71 208
MS_Panesar 7 26 92
AJ_Finch 53 1925 2297
OL_Pitcher 3 28 83
ML_Hayden 39 1968 2360
TR_Ambrose 4 9 28
KL_Tucker 1 0 4
Rajin_Saleh 4 65 156
Sami_Aslam 1 45 52
AR_White 22 273 450
GA_Lamb 14 197 389
IA_Nicolson 1 0 3
KT_Sandher 1 2 6
Shahid_Afridi 148 3140 2454
LL_Tsotsobe 18 57 112
BB_Chari 4 76 167
JK_Kamande 17 161 344
SP_Fleming 26 853 1158
Mohammad_Shahzad 18 562 590
Asad_Ali 2 13 16
U_Bhatti 8 120 131
AD_Poynter 6 65 134
PM_Seelaar 7 38 87
Zulfiqar_Babar 5 35 40
JJ_Roy 19 558 585
Mohammad_Rizwan 13 348 375
DW_Steyn 44 288 466
BJ_Watling 19 528 789
Mansoor_Amjad 1 5 10
Zaheer_Maqsood 1 5 10
Kamran_Akmal 91 2124 2648
AA_Mulla 8 150 160
Aftab_Alam 5 19 28
CJ_McKay 25 179 323
AM_Nayar 1 0 7
CRD_Fernando 21 114 176
SPD_Smith 59 2082 2377
GH_Bodi 2 83 136
IR_Bell 137 4808 6360
JW_Dernbach 8 19 40
JJ_Atkinson 3 61 119
Sri_Lanka_avg 2110 52876 66189
C_Munro 9 244 262
MF_Maharoof 37 526 641
Robiul_Islam 1 0 1
Mudassar_Bukhari 11 108 151
D_Ramdin 83 1608 1990
ND_McKenzie 4 108 168
JE_Taylor 31 216 259
RD_Steede 2 15 22
JEC_Franklin 53 1004 1264
Jahurul_Islam 11 226 325
SW_Tait 6 25 29
Africa_XI_avg 666 18131 20998
Hashmatullah_Shaidi 2 14 25
MS_Atapattu 11 269 402
Saad_Nasim 3 99 125
Junaid_Siddique 44 896 1315
A_Zampa 1 2 11
S_Dhaniram 11 281 316
RT_Crandon 1 5 9
Zain_Abbas 1 26 55
SS_Pathirana 3 66 76
ADJ_Pitcher 1 8 12
KAJ_Roach 36 201 411
Junaid_Siddiqui 4 52 124
Ehsan_Adil 4 27 43
