MKDI_Amerasinghe 6 309 9 331
ADJ_Pitcher 1 38 0 38
KAJ_Roach 61 2627 102 3174
Junaid_Siddiqui 5 186 3 224
Ehsan_Adil 5 212 4 211
GP_Swann 70 2731 104 3543
Naved-ul-Hasan 27 1230 36 1298
E_Katchay 1 23 1 18
RS_Bopara 73 1565 43 1895
Mohammed_Shami 38 1855 77 2021
Al-Amin_Hossain 13 511 22 581
Shoaib_Malik 82 2217 59 2734
Shuvagoto_Hom 1 9 0 12
RW_Price 60 2248 74 3280
DC_Thomas 1 11 2 9
R_Clarke 2 68 1 70
RDM_Leverock 12 448 13 607
MP_Vaughan 3 88 4 133
HS_Baidwan 15 704 24 782
Rizwan_Cheema 13 440 12 496
WD_Parnell 43 2015 74 2194
TT_Bresnan 79 3711 111 4080
DR_Brown 4 163 3 140
CK_Langeveldt 42 1852 68 2143
RD_Berrington 15 389 15 480
Dawlat_Zadran 28 1226 41 1367
DAJ_Bracewell 13 552 19 677
KD_Mills 95 3777 153 4745
UT_Yadav 54 2633 84 2661
RAS_Lakmal 41 1820 59 1966
Dolar_Mahmud 7 259 8 223
JWM_Dalrymple 23 686 15 868
KMDN_Kulasekara 145 5777 181 6903
K_Weeraratne 3 88 0 72
RG_Aga 4 110 3 146
Shami_Ahmed 5 179 5 235
RR_Sarwan 11 231 10 234
PJK_Mooney 2 57 0 54
WB_Rankin 29 1171 34 1490
Arafat_Sunny 16 624 29 837
Salman_Butt 3 48 0 34
Zahid_Hussain 2 96 3 120
J_Botha 63 2541 70 3311
MJ_Fourie 2 52 0 81
LP_van_Troost 1 60 1 25
MA_Parker 2 49 3 66
Zafar_Gohar 1 56 2 61
Rashid_Khan 5 207 9 303
MJ_Clarke 65 1247 35 1558
Mohammad_Kashif 3 92 5 114
RR_Patel 3 69 2 84
Misbah-ul-Haq 1 30 0 24
IH_Romaine 4 75 1 64
Krishna_Chandran 4 177 1 151
M_de_Lange 4 199 10 220
GH_Dockrell 33 1178 38 1616
GJ_Maxwell 55 1713 43 1857
RJ_Nicol 15 306 10 323
KAD_Hurdle 9 400 17 495
RJ_Peterson 49 1896 67 2310
Usman_Ghani 1 13 0 14
SO_Tikolo 17 634 15 744
TE_Tucker 1 21 0 18
UDU_Chandana 1 28 0 43
JM_Davison 9 324 8 372
JJ_Krejza 7 306 7 382
MR_Marsh 28 872 28 934
SJ_Harmison 19 875 23 940
J_Lewis 10 387 14 584
R_Rampaul 65 2708 101 3220
BW_Hilfenhaus 23 1049 32 1227
RN_ten_Doeschate 13 629 17 662
D_Langford-Smith 9 328 10 430
CA_Young 7 303 17 413
AG_Prince 1 3 0 12
JM_Anderson 134 5669 201 6926
PJ_Cummins 17 846 34 897
Raza-ur-Rehman 3 100 1 95
Mohammad_Amir 17 706 31 927
TBM_de_Leede 6 193 7 245
S_Randiv 28 1178 38 1399
NM_Lyon 9 428 11 502
TC_Mutombodzi 3 133 2 142
RM_Haq 23 837 29 1073
RN_Lewis 7 273 6 318
JL_Carter 3 47 3 48
SR_Clark 22 798 30 1057
F_Behardien 30 649 12 686
NN_Odhiambo 22 883 24 936
JDF_Vandersay 2 90 2 76
JM_Kemp 17 260 11 313
IG_Butler 10 454 14 490
Kamran_Shazad 2 104 4 105
TT_Samaraweera 3 33 1 30
JS_Patel 25 1028 25 1219
FDM_Karunaratne 1 11 0 10
J_Anderson 2 20 0 30
LN_Onyango 8 214 9 254
Waqas_Barkat 1 19 0 12
DPMD_Jayawardene 2 24 1 28
DBL_Powell 32 1413 43 1761
LS_Baker 6 225 7 275
Pankaj_Singh 1 45 0 44
Shakib_Al_Hasan 134 5125 191 6906
Syed_Rasel 35 1444 45 1831
Samiullah_Khan 2 115 0 123
NG_Jones 4 85 5 158
KS_Williamson 48 934 30 998
C_Zhuwao 1 15 0 18
K_Rabada 14 636 32 797
AC_Agar 2 59 2 67
K_Karate 4 144 5 177
LPC_Silva 2 34 1 44
P_Utseya 94 4019 90 5024
AJ_Ireland 8 348 9 406
KM_Jarvis 19 998 23 1001
B_Laughlin 5 221 4 229
PJC_Hoffmann 5 177 1 196
MJ_North 1 16 0 18
AR_Patel 19 814 28 1028
AR_McBrine 9 411 11 486
WPUJC_Vaas 40 1340 47 2032
MM_Iqbal 3 142 2 127
E_Otieno 10 479 15 463
Nizakat_Khan 1 11 1 32
G_Goudie 1 18 3 42
JF_Mooney 33 1157 38 1292
DT_Christian 18 594 21 726
JP_Faulkner 45 2165 77 2294
MR_Swart 5 125 3 156
Elias_Sunny 4 162 5 207
CJ_Jordan 27 1391 42 1421
Mohammad_Sami 9 420 9 447
D_Soraine 2 38 1 55
Faisal_Hossain 2 54 1 73
Izatullah_Dawlatzai 2 59 1 90
BM_Wheeler 6 321 11 319
MP_Stoinis 1 17 0 24
Fahad_Alhashmi 3 106 2 116
Yamin_Ahmadzai 1 4 1 18
MD_Bates 2 53 3 84
JO_Ngoche 6 223 5 306
SMSM_Senanayake 45 1832 60 2305
NT_Pascal 1 30 0 27
Mohammad_Talha 3 147 4 126
KTGD_Prasad 18 786 28 803
